,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
50,2.45,2.45,0.0,0.0,1.407773447,1.7448637189999998e-16,0.0,0.0,-1.284633526e-06,1.0,1.0,1.290417087e-06,0.0,0.0,-5.783386075e-09
51,2.5,2.5,0.0,0.0,1.43344625,2.1837957789999997e-16,0.0,0.0,-1.303801045e-06,1.0,1.0,1.309692176e-06,0.0,0.0,-5.890967143e-09
52,2.55,2.55,0.0,0.0,1.458979222,2.703268052e-16,0.0,0.0,-1.32238497e-06,1.0,1.0,1.328393257e-06,0.0,0.0,-6.008137075e-09
53,2.6,2.6,0.0,0.0,1.484380023,3.3128480749999995e-16,0.0,0.0,-1.340472044e-06,1.0,1.0,1.346606387e-06,0.0,0.0,-6.134199655e-09
54,2.65,2.65,0.0,0.0,1.509657214,4.0227633379999995e-16,0.0,0.0,-1.358087896e-06,1.0,1.0,1.364356719e-06,0.0,0.0,-6.26868958e-09
55,2.675,2.675,0.0,0.0,1.522251943,4.4187357389999995e-16,0.0,0.0,-1.366726242e-06,1.0,1.0,1.373065322e-06,0.0,0.0,-6.338949443e-09
56,2.7,2.7,0.0,0.0,1.534818669,4.843949929999999e-16,0.0,0.0,-1.375255193e-06,1.0,1.0,1.381666462e-06,0.0,0.0,-6.411141997e-09
57,2.75,2.75,0.0,0.0,1.559871594,5.78807186e-16,0.0,0.0,-1.391995523e-06,1.0,1.0,1.398556738e-06,0.0,0.0,-6.561094984e-09
58,2.8,2.8,0.0,0.0,1.58482259,6.867499365999999e-16,0.0,0.0,-1.408329391e-06,1.0,1.0,1.415047493e-06,0.0,0.0,-6.718093352e-09
59,2.85,2.85,0.0,0.0,1.609677702,8.095238374999999e-16,0.0,0.0,-1.424276023e-06,1.0,1.0,1.431157826e-06,0.0,0.0,-6.881695859e-09
60,2.875,2.875,0.0,0.0,1.622071054,8.768935037999999e-16,0.0,0.0,-1.432110051e-06,1.0,1.0,1.439075994e-06,0.0,0.0,-6.965839044e-09
