Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge
3.41E-05,-2.08E-18,,1.78E-05,-3.64E-18,,1.00E-05,-2.97E-18,,2.07E-06,-6.18E-19,,2.17E-06,-1.53E-18
3.83E-05,-2.33E-18,,1.85E-05,-3.79E-18,,1.04E-05,-3.09E-18,,2.41E-06,-7.17E-19,,2.36E-06,-1.67E-18
3.96E-05,-2.41E-18,,1.96E-05,-4.01E-18,,1.12E-05,-3.33E-18,,2.62E-06,-7.80E-19,,2.50E-06,-1.77E-18
4.10E-05,-2.49E-18,,2.11E-05,-4.30E-18,,1.22E-05,-3.62E-18,,2.93E-06,-8.75E-19,,2.60E-06,-1.83E-18
4.29E-05,-2.61E-18,,2.24E-05,-4.57E-18,,1.32E-05,-3.92E-18,,3.47E-06,-1.03E-18,,2.73E-06,-1.93E-18
4.60E-05,-2.79E-18,,2.34E-05,-4.78E-18,,1.42E-05,-4.22E-18,,3.82E-06,-1.14E-18,,2.93E-06,-2.06E-18
5.05E-05,-3.05E-18,,2.44E-05,-4.98E-18,,1.52E-05,-4.51E-18,,4.03E-06,-1.20E-18,,3.09E-06,-2.17E-18
5.41E-05,-3.27E-18,,2.59E-05,-5.26E-18,,1.62E-05,-4.81E-18,,4.33E-06,-1.29E-18,,3.19E-06,-2.24E-18
5.65E-05,-3.40E-18,,2.69E-05,-5.46E-18,,1.72E-05,-5.10E-18,,4.87E-06,-1.45E-18,,3.30E-06,-2.32E-18
5.91E-05,-3.56E-18,,2.79E-05,-5.66E-18,,1.82E-05,-5.40E-18,,5.23E-06,-1.56E-18,,3.50E-06,-2.46E-18
6.04E-05,-3.63E-18,,2.93E-05,-5.95E-18,,1.92E-05,-5.69E-18,,5.44E-06,-1.62E-18,,3.67E-06,-2.57E-18
6.14E-05,-3.69E-18,,3.08E-05,-6.25E-18,,1.97E-05,-5.84E-18,,5.73E-06,-1.71E-18,,3.78E-06,-2.65E-18
6.34E-05,-3.81E-18,,3.19E-05,-6.45E-18,,2.03E-05,-6.02E-18,,6.27E-06,-1.87E-18,,3.89E-06,-2.72E-18
6.54E-05,-3.92E-18,,3.29E-05,-6.65E-18,,2.11E-05,-6.24E-18,,6.63E-06,-1.97E-18,,4.07E-06,-2.85E-18
6.66E-05,-3.99E-18,,3.43E-05,-6.93E-18,,2.20E-05,-6.51E-18,,6.85E-06,-2.04E-18,,4.25E-06,-2.97E-18
6.81E-05,-4.08E-18,,3.58E-05,-7.24E-18,,2.29E-05,-6.80E-18,,7.14E-06,-2.12E-18,,4.37E-06,-3.05E-18
7.01E-05,-4.19E-18,,3.69E-05,-7.45E-18,,2.39E-05,-7.09E-18,,7.41E-06,-2.20E-18,,4.48E-06,-3.12E-18
7.17E-05,-4.28E-18,,3.79E-05,-7.64E-18,,2.44E-05,-7.24E-18,,7.71E-06,-2.29E-18,,4.66E-06,-3.24E-18
7.36E-05,-4.39E-18,,3.93E-05,-7.92E-18,,2.50E-05,-7.41E-18,,8.08E-06,-2.40E-18,,4.75E-06,-3.30E-18
7.63E-05,-4.55E-18,,4.09E-05,-8.23E-18,,2.58E-05,-7.64E-18,,8.49E-06,-2.52E-18,,4.80E-06,-3.33E-18
8.05E-05,-4.79E-18,,4.20E-05,-8.45E-18,,2.67E-05,-7.90E-18,,8.87E-06,-2.63E-18,,4.85E-06,-3.37E-18
8.39E-05,-4.98E-18,,4.30E-05,-8.64E-18,,2.77E-05,-8.19E-18,,9.21E-06,-2.73E-18,,4.93E-06,-3.42E-18
8.59E-05,-5.09E-18,,4.44E-05,-8.92E-18,,2.87E-05,-8.48E-18,,9.56E-06,-2.84E-18,,5.03E-06,-3.49E-18
8.72E-05,-5.17E-18,,4.61E-05,-9.23E-18,,2.97E-05,-8.78E-18,,9.95E-06,-2.95E-18,,5.13E-06,-3.56E-18
8.82E-05,-5.22E-18,,4.74E-05,-9.48E-18,,3.07E-05,-9.07E-18,,1.00E-05,-2.97E-18,,5.33E-06,-3.69E-18
