Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,Id_1V,Vcg_0-6V,,Cgate Voltage,Drain Current
3.50E+00,3.50E+00,0.00E+00,-3.41E-16,-5.32E+00,-3.12E-22,0.00E+00,0.00E+00,-1.34E-18,1.00E+00,1.00E+00,4.75E-07,0.00E+00,0.00E+00,-7.43E-18,,7.51E-07,1.80E+00,,3.50E+00,4.75E-07
3.60E+00,3.60E+00,0.00E+00,-3.41E-16,-5.27E+00,-1.98E-22,0.00E+00,0.00E+00,-1.36E-18,1.00E+00,1.00E+00,5.36E-07,0.00E+00,0.00E+00,-7.44E-18,,7.69E-07,1.85E+00,,3.60E+00,5.36E-07
3.70E+00,3.70E+00,0.00E+00,-3.41E-16,-5.23E+00,-1.24E-22,0.00E+00,0.00E+00,-1.37E-18,1.00E+00,1.00E+00,5.94E-07,0.00E+00,0.00E+00,-7.45E-18,,7.87E-07,1.90E+00,,3.70E+00,5.94E-07
3.80E+00,3.80E+00,0.00E+00,-3.41E-16,-5.19E+00,-7.73E-23,0.00E+00,0.00E+00,-1.39E-18,1.00E+00,1.00E+00,6.51E-07,0.00E+00,0.00E+00,-7.28E-18,,8.05E-07,1.95E+00,,3.80E+00,6.51E-07
3.90E+00,3.90E+00,0.00E+00,-3.41E-16,-5.14E+00,-4.76E-23,0.00E+00,0.00E+00,-1.41E-18,1.00E+00,1.00E+00,7.10E-07,0.00E+00,0.00E+00,-7.48E-18,,8.22E-07,2.00E+00,,3.90E+00,7.10E-07
4.00E+00,4.00E+00,0.00E+00,-3.41E-16,-5.10E+00,-2.90E-23,0.00E+00,0.00E+00,-1.42E-18,1.00E+00,1.00E+00,7.67E-07,0.00E+00,0.00E+00,-7.27E-18,,,,,4.00E+00,7.67E-07
4.10E+00,4.10E+00,0.00E+00,-3.41E-16,-5.05E+00,-1.75E-23,0.00E+00,0.00E+00,-1.44E-18,1.00E+00,1.00E+00,8.23E-07,0.00E+00,0.00E+00,-7.48E-18,,,,,4.10E+00,8.23E-07
4.20E+00,4.20E+00,0.00E+00,-3.41E-16,-5.01E+00,-1.04E-23,0.00E+00,0.00E+00,-1.46E-18,1.00E+00,1.00E+00,8.78E-07,0.00E+00,0.00E+00,-7.49E-18,,,,,4.20E+00,8.78E-07
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
