Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,,Id_1V,Vcg_0-6V
1.60E+00,1.60E+00,0.00E+00,0.00E+00,9.55E-01,8.88E-19,0.00E+00,0.00E+00,-6.90E-07,1.00E+00,1.00E+00,7.04E-07,0.00E+00,0.00E+00,-3.75E-09,,,7.12E-07,1.70E+00
1.65E+00,1.65E+00,0.00E+00,0.00E+00,9.85E-01,1.58E-18,0.00E+00,0.00E+00,-7.12E-07,1.00E+00,1.00E+00,7.25E-07,0.00E+00,0.00E+00,-3.69E-09,,,7.32E-07,1.75E+00
1.70E+00,1.70E+00,0.00E+00,0.00E+00,1.01E+00,2.70E-18,0.00E+00,0.00E+00,-7.33E-07,1.00E+00,1.00E+00,7.46E-07,0.00E+00,0.00E+00,-3.63E-09,,,7.51E-07,1.80E+00
1.75E+00,1.75E+00,0.00E+00,0.00E+00,1.04E+00,4.45E-18,0.00E+00,0.00E+00,-7.53E-07,1.00E+00,1.00E+00,7.66E-07,0.00E+00,0.00E+00,-3.58E-09,,,7.69E-07,1.85E+00
1.80E+00,1.80E+00,0.00E+00,0.00E+00,1.07E+00,7.08E-18,0.00E+00,0.00E+00,-7.72E-07,1.00E+00,1.00E+00,7.86E-07,0.00E+00,0.00E+00,-3.54E-09,,,7.87E-07,1.90E+00
1.85E+00,1.85E+00,0.00E+00,0.00E+00,1.10E+00,1.09E-17,0.00E+00,0.00E+00,-7.91E-07,1.00E+00,1.00E+00,8.05E-07,0.00E+00,0.00E+00,-3.52E-09,,,8.05E-07,1.95E+00
1.90E+00,1.90E+00,0.00E+00,0.00E+00,1.13E+00,1.63E-17,0.00E+00,0.00E+00,-8.09E-07,1.00E+00,1.00E+00,8.23E-07,0.00E+00,0.00E+00,-3.50E-09,,,8.22E-07,2.00E+00
1.95E+00,1.95E+00,0.00E+00,0.00E+00,1.16E+00,2.37E-17,0.00E+00,0.00E+00,-8.26E-07,1.00E+00,1.00E+00,8.40E-07,0.00E+00,0.00E+00,-3.50E-09,,,,
2.00E+00,2.00E+00,0.00E+00,0.00E+00,1.19E+00,3.36E-17,0.00E+00,0.00E+00,-8.43E-07,1.00E+00,1.00E+00,8.57E-07,0.00E+00,0.00E+00,-3.50E-09,,,,
2.05E+00,2.05E+00,0.00E+00,0.00E+00,1.21E+00,4.66E-17,0.00E+00,0.00E+00,-8.59E-07,1.00E+00,1.00E+00,8.73E-07,0.00E+00,0.00E+00,-3.52E-09,,,,
2.10E+00,2.10E+00,0.00E+00,0.00E+00,1.24E+00,6.34E-17,0.00E+00,0.00E+00,-8.75E-07,1.00E+00,1.00E+00,8.88E-07,0.00E+00,0.00E+00,-3.55E-09,,,,
2.15E+00,2.15E+00,0.00E+00,0.00E+00,1.27E+00,8.46E-17,0.00E+00,0.00E+00,-8.90E-07,1.00E+00,1.00E+00,9.03E-07,0.00E+00,0.00E+00,-3.58E-09,,,,
2.20E+00,2.20E+00,0.00E+00,0.00E+00,1.29E+00,1.11E-16,0.00E+00,0.00E+00,-9.04E-07,1.00E+00,1.00E+00,9.18E-07,0.00E+00,0.00E+00,-3.62E-09,,,,
2.25E+00,2.25E+00,0.00E+00,0.00E+00,1.32E+00,1.43E-16,0.00E+00,0.00E+00,-9.18E-07,1.00E+00,1.00E+00,9.32E-07,0.00E+00,0.00E+00,-3.67E-09,,,,
2.30E+00,2.30E+00,0.00E+00,0.00E+00,1.34E+00,1.83E-16,0.00E+00,0.00E+00,-9.31E-07,1.00E+00,1.00E+00,9.45E-07,0.00E+00,0.00E+00,-3.73E-09,,,,
2.35E+00,2.35E+00,0.00E+00,0.00E+00,1.37E+00,2.29E-16,0.00E+00,0.00E+00,-9.44E-07,1.00E+00,1.00E+00,9.58E-07,0.00E+00,0.00E+00,-3.80E-09,,,,
2.40E+00,2.40E+00,0.00E+00,0.00E+00,1.40E+00,2.85E-16,0.00E+00,0.00E+00,-9.57E-07,1.00E+00,1.00E+00,9.71E-07,0.00E+00,0.00E+00,-3.87E-09,,,,
2.45E+00,2.45E+00,0.00E+00,0.00E+00,1.42E+00,3.49E-16,0.00E+00,0.00E+00,-9.69E-07,1.00E+00,1.00E+00,9.83E-07,0.00E+00,0.00E+00,-3.95E-09,,,,
2.50E+00,2.50E+00,0.00E+00,0.00E+00,1.45E+00,4.24E-16,0.00E+00,0.00E+00,-9.81E-07,1.00E+00,1.00E+00,9.95E-07,0.00E+00,0.00E+00,-4.03E-09,,,,
2.55E+00,2.55E+00,0.00E+00,0.00E+00,1.47E+00,5.10E-16,0.00E+00,0.00E+00,-9.93E-07,1.00E+00,1.00E+00,1.01E-06,0.00E+00,0.00E+00,-4.12E-09,,,,
2.60E+00,2.60E+00,0.00E+00,0.00E+00,1.50E+00,6.08E-16,0.00E+00,0.00E+00,-1.00E-06,1.00E+00,1.00E+00,1.02E-06,0.00E+00,0.00E+00,-4.21E-09,,,,
2.65E+00,2.65E+00,0.00E+00,0.00E+00,1.52E+00,7.19E-16,0.00E+00,0.00E+00,-1.01E-06,1.00E+00,1.00E+00,1.03E-06,0.00E+00,0.00E+00,-4.31E-09,,,,
2.70E+00,2.70E+00,0.00E+00,0.00E+00,1.55E+00,8.43E-16,0.00E+00,0.00E+00,-1.03E-06,1.00E+00,1.00E+00,1.04E-06,0.00E+00,0.00E+00,-4.41E-09,,,,
2.75E+00,2.75E+00,0.00E+00,0.00E+00,1.57E+00,9.83E-16,0.00E+00,0.00E+00,-1.04E-06,1.00E+00,1.00E+00,1.05E-06,0.00E+00,0.00E+00,-4.51E-09,,,,
2.80E+00,2.80E+00,0.00E+00,0.00E+00,1.60E+00,1.14E-15,0.00E+00,0.00E+00,-1.05E-06,1.00E+00,1.00E+00,1.06E-06,0.00E+00,0.00E+00,-4.62E-09,,,,
2.85E+00,2.85E+00,0.00E+00,0.00E+00,1.62E+00,1.31E-15,0.00E+00,0.00E+00,-1.06E-06,1.00E+00,1.00E+00,1.07E-06,0.00E+00,0.00E+00,-4.73E-09,,,,
